index,wer,wer_group,reference_entity_count,asr_entity_count,matched_entity_count,reference_only_count,asr_only_count
0,0.045455,0–10%,1,1,1,0,0
1,0.321429,>30%,6,5,3,3,2
2,0.230769,10–30%,1,1,1,0,0
3,0.173913,10–30%,5,3,1,4,2
4,0.074074,0–10%,5,5,4,1,1
5,0.4,>30%,4,2,2,2,0
6,0.192308,10–30%,5,5,5,0,0
7,0.074074,0–10%,4,5,3,1,2
8,0.275862,10–30%,3,5,2,1,3
9,0.277778,10–30%,3,3,3,0,0
10,0.259259,10–30%,2,3,2,0,1
11,0.315789,>30%,1,0,0,1,0
12,0.296296,10–30%,3,4,2,1,2
13,0.115385,10–30%,5,5,3,2,2
14,0.434783,>30%,2,0,0,2,0
15,0.24,10–30%,7,2,2,5,0
16,0.222222,10–30%,4,3,0,4,3
17,0.0625,0–10%,0,0,0,0,0
18,0.192308,10–30%,3,1,0,3,1
19,0.08,0–10%,5,4,2,3,2
20,0.375,>30%,2,2,2,0,0
21,0.25,10–30%,5,4,2,3,2
22,0.241379,10–30%,14,9,6,8,3
23,0.12,10–30%,1,2,1,0,1
24,0.230769,10–30%,5,6,3,2,3
25,0.333333,>30%,1,2,1,0,1
26,0.28,10–30%,4,3,2,2,1
27,0.185185,10–30%,5,3,1,4,2
28,0.115385,10–30%,4,4,3,1,1
29,0.105263,10–30%,3,3,3,0,0
30,0.421053,>30%,5,8,4,1,4
31,0.375,>30%,10,6,4,6,2
32,0.111111,10–30%,2,2,2,0,0
33,0.111111,10–30%,0,0,0,0,0
34,0.142857,10–30%,3,3,3,0,0
35,0.142857,10–30%,5,6,5,0,1
36,0.291667,10–30%,1,2,1,0,1
37,0.321429,>30%,7,7,5,2,2
38,0.130435,10–30%,4,3,1,3,2
39,0.458333,>30%,4,5,1,3,4
40,0.269231,10–30%,4,4,2,2,2
41,0.25,10–30%,1,1,0,1,1
42,0.125,10–30%,4,5,3,1,2
43,0.375,>30%,1,2,1,0,1
44,0.318182,>30%,8,4,2,6,2
45,0.388889,>30%,4,3,2,2,1
46,0.263158,10–30%,4,3,3,1,0
47,0.24,10–30%,5,6,4,1,2
48,0.04,0–10%,3,3,3,0,0
49,0.153846,10–30%,1,1,1,0,0
50,0.4,>30%,4,3,1,3,2
51,0.25,10–30%,1,1,1,0,0
52,0.0,0%,1,1,1,0,0
53,0.285714,10–30%,2,2,1,1,1
54,0.25,10–30%,3,3,3,0,0
55,0.210526,10–30%,7,5,4,3,1
56,0.366667,>30%,2,0,0,2,0
57,0.148148,10–30%,6,6,5,1,1
58,0.625,>30%,4,2,1,3,1
59,0.333333,>30%,5,3,2,3,1
60,0.36,>30%,1,1,0,1,1
61,0.285714,10–30%,8,5,4,4,1
62,0.125,10–30%,5,4,3,2,1
63,0.411765,>30%,3,4,1,2,3
64,0.068966,0–10%,2,2,2,0,0
65,0.24,10–30%,5,3,1,4,2
66,0.269231,10–30%,3,3,3,0,0
67,0.346154,>30%,5,6,1,4,5
68,0.259259,10–30%,2,1,1,1,0
69,0.038462,0–10%,2,2,2,0,0
70,0.115385,10–30%,5,3,3,2,0
71,0.285714,10–30%,8,6,3,5,3
72,0.294118,10–30%,1,1,1,0,0
73,0.24,10–30%,3,3,3,0,0
74,0.214286,10–30%,5,5,3,2,2
75,0.391304,>30%,5,4,2,3,2
76,0.307692,>30%,8,6,3,5,3
77,0.291667,10–30%,5,4,4,1,0
78,0.269231,10–30%,5,3,1,4,2
79,0.172414,10–30%,6,5,4,2,1
80,0.115385,10–30%,4,3,3,1,0
81,0.157895,10–30%,6,6,4,2,2
82,0.269231,10–30%,4,5,2,2,3
83,0.1875,10–30%,4,4,1,3,3
84,0.2,10–30%,2,2,2,0,0
85,0.136364,10–30%,6,4,3,3,1
86,0.16,10–30%,4,3,2,2,1
87,0.321429,>30%,5,7,2,3,5
88,0.185185,10–30%,1,2,1,0,1
89,0.105263,10–30%,7,7,5,2,2
90,0.266667,10–30%,4,4,3,1,1
91,0.185185,10–30%,4,4,3,1,1
92,0.28,10–30%,6,6,3,3,3
93,0.115385,10–30%,5,4,3,2,1
94,0.2,10–30%,6,6,5,1,1
95,0.166667,10–30%,1,2,1,0,1
96,0.25,10–30%,6,5,5,1,0
97,0.307692,>30%,3,3,0,3,3
98,0.103448,10–30%,2,2,2,0,0
99,0.153846,10–30%,4,4,4,0,0
100,0.434783,>30%,2,3,1,1,2
101,0.285714,10–30%,4,4,2,2,2
102,0.178571,10–30%,1,1,1,0,0
103,0.222222,10–30%,5,7,4,1,3
104,0.321429,>30%,1,1,1,0,0
105,0.333333,>30%,9,4,3,6,1
106,0.28125,10–30%,5,6,3,2,3
107,0.266667,10–30%,5,6,4,1,2
108,0.157895,10–30%,1,1,1,0,0
109,0.076923,0–10%,2,2,2,0,0
110,0.32,>30%,6,6,3,3,3
111,0.28,10–30%,4,8,2,2,6
112,0.26087,10–30%,2,1,1,1,0
113,0.32,>30%,5,4,2,3,2
114,0.263158,10–30%,7,9,7,0,2
115,0.266667,10–30%,1,3,1,0,2
116,0.153846,10–30%,6,4,2,4,2
117,0.444444,>30%,1,1,0,1,1
118,0.259259,10–30%,4,5,4,0,1
119,0.111111,10–30%,1,1,1,0,0
120,0.105263,10–30%,5,4,3,2,1
